reaction_id,reaction_name,type,n_metabolites,compartments,gene_reaction_rule,metabolite_mnxm_ids,metabolite_bigg_ids
R2182,Dolichyl diphosphate transport,transport,2,"C_cy,C_er",,"MNXM726930,MNXM726930","—,—"
R2191,NO NAME,has_GPR,7,C_cy,YALI1F05415g,"MNXM1,MNXM735438,MNXM10,MNXM1095022,WATER,MNXM64096,MNXM2160","h,o2,nadh,—,h2o,—,2hyoxplac"
R2197,NO NAME,no_GPR,5,C_cy,,"WATER,MNXM1094132,MNXM23,MNXM1,MNXM726340","h2o,spyr,pyr,h,—"
R2205,glycine:oxygen oxidoreductase;Aminoacetic acid:oxygen oxidoreductase,has_GPR,6,C_cy,YALI1F39058g,"WATER,MNXM735438,MNXM12053,MNXM1227817,MNXM69,MNXM732620","h2o,o2,—,—,glx,h2o2"
R2208,Indole_3_acetonitrile exchange,exchange,1,C_ex,,—,—
R2209,Indole_3_acetonitrile transport,transport,2,"C_cy,C_ex",,"—,—","—,—"
R2211,alpha_Aminopropiononitrile exchange,exchange,1,C_ex,,—,—
R2212,alpha_Aminopropiononitrile transport,transport,2,"C_cy,C_ex",,"—,—","—,—"
R2214,gamma_Amino_gamma_cyanobutanoate exchange,exchange,1,C_ex,,—,—
R2215,gamma_Amino_gamma_cyanobutanoate transport,transport,2,"C_cy,C_ex",,"—,—","—,—"
R2244,S_Adenosyl_L_methionine transport,transport,3,"C_cy,C_em",,"MNXM1363767,MNXM1363767,MNXM1","amet,amet,h"
R2269,Acetate transport,transport,3,"C_cy,C_pe",,"MNXM26,MNXM1,MNXM26","ac,h,ac"
R2272,hexadecane exchange,exchange,1,C_ex,,MNXM724803,—
R2273,triolein exchange,exchange,1,C_ex,,—,—
R2274,triolein hydrolysis,no_GPR,3,C_ex,,"—,MNXM89612,MNXM100005","—,glyc,—"
R2275,tributyrin exchange,exchange,1,C_ex,,—,—
R2276,D-Limonene synthase,no_GPR,2,C_cy,,"MNXM12708,—","—,—"
R2277,D-Limonene transport,transport,2,"C_cy,C_ex",,"—,—","—,—"
R2278,D-Limonene exchange,exchange,1,C_ex,,—,—
R2279,3-dehydroshikimate transport,transport,3,"C_cy,C_ex",,"MNXM611,MNXM611,MNXM1","3dhsk,3dhsk,h"
R2280,3-dehydroshikimate exchange,exchange,1,C_ex,,MNXM611,3dhsk
newBiom,newBiom,transport,47,"C_cy,C_em,C_lp",,"WATER,MNXM741173,MNXM738804,MNXM728294,MNXM432,MNXM1101285,MNXM1103302,MNXM1105732,MNXM37,MNXM3,MNXM1104823,MNXM1364497,MNXM12053,MNXM1106024,MNXM739527,MNXM1107821,MNXM738369,MNXM737787,MNXM738068,MNXM266,MNXM736654,MNXM257,MNXM738130,MNXM1107769,MNXM728337,MNXM114,MNXM142,MNXM741553,MNXM1106761,MNXM1364268,MNXM741664,—,MNXM76,MNXM741449,MNXM199,MNXM733735,MNXM1108024,MNXM1371412,MNXM1564104,MNXM1364164,MNXM1093921,MNXM1093823,MNXM1093594,MNXM1,MNXM9,MNXM40333,BIOMASS","h2o,glu__L,met__L,amp,damp,gmp,cmp,ala__L,gln__L,atp,ump,asp__L,—,—,arg__L,asn__L,zymst,ser__L,cys__L,dcmp,dgmp,dtmp,glycogen,his__L,ile__L,pro__L,thr__L,trp__L,leu__L,lys__L,phe__L,—,tyr__L,ergst,val__L,—,—,—,—,—,pe_LM,pc_TB,pa_LM,h,pi,adp,—"
biomass_C,biomass_C,transport,47,"C_cy,C_em,C_lp",,"WATER,MNXM741173,MNXM738804,MNXM728294,MNXM432,MNXM1101285,MNXM1103302,MNXM1105732,MNXM37,MNXM3,MNXM1104823,MNXM1364497,MNXM12053,MNXM1106024,MNXM739527,MNXM1107821,MNXM738369,MNXM1560576,MNXM737787,MNXM738068,MNXM266,MNXM736654,MNXM257,MNXM1107769,MNXM728337,MNXM114,MNXM142,MNXM741553,MNXM1106761,MNXM1364268,MNXM741664,—,MNXM76,MNXM741449,MNXM199,MNXM733735,MNXM1108024,MNXM1371412,MNXM1564104,MNXM1364164,MNXM1093921,MNXM1093823,MNXM1093594,MNXM1,MNXM9,MNXM40333,BIOMASS","h2o,glu__L,met__L,amp,damp,gmp,cmp,ala__L,gln__L,atp,ump,asp__L,—,—,arg__L,asn__L,zymst,—,ser__L,cys__L,dcmp,dgmp,dtmp,his__L,ile__L,pro__L,thr__L,trp__L,leu__L,lys__L,phe__L,—,tyr__L,ergst,val__L,—,—,—,—,—,pe_LM,pc_TB,pa_LM,h,pi,adp,—"
